country,name,year_data,IBD_rate_x,decade,CD_inc,UC_inc,CD_change_inc,UC_change_inc,IBD_rate_y,CD_prev,UC_prev,CD_change_prev,UC_change_prev,stage,status,CD_inc_impute,UC_inc_impute,CD_prev_impute,UC_prev_impute,CD_change_inc_impute,UC_change_inc_impute,CD_change_prev_impute,UC_change_prev_impute,imputation_method
Algeria,Constantine,2003,6.21,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Algeria,Constantine,2005,14.718224756,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Algeria,Constantine,2007,14.95,,,,,,31.59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,Cordoba,2017,3.65,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,Cordoba,2019,,,,,,,68.772324758,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,Cordoba,2022,2.63,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1987,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1988,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1989,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1990,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1991,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1992,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Argentina,General Pueyrredon Partido,1993,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero
Australia,Australia,2019,,2010-2019,,,,,653.0473415,306.4492285,346.598113,,,stage3,labelled,30.076085194278278,40.31111409049069,306.4492285,346.598113,-22.24588709852759,-4.851326521540916,0.0,0.0,zero
Australia,BARWON HEADS,2008,29.4,2000-2009,17.4,12.0,,,,,,,,stage3,labelled,17.4,12.0,223.83181627318024,124.67269772046997,7.824814492187234,-2.9876882686194866,0.0,0.0,zero
Australia,BARWON HEADS,2011,24.196901432,2010-2019,14.65446143,9.542440002,-0.915179523333333,-0.8191866660000002,341.8238329,197.3240272,144.4998057,,,stage3,labelled,14.095028684710993,9.648628787241396,196.78134490715775,144.90571735068718,-1.0941095721079057,-0.7747918876013639,0.0,0.0,zero
Australia,City of Canada Bay,2016,,,,,,,413.1434085,,,,,,,20.91549472708887,25.27509960778851,226.7973043796203,240.14384587529446,-13.003755492811322,-2.8385956395451633,0.0,0.0,zero
Australia,Geelong,2008,29.34193001,2000-2009,17.37351119,11.96841882,,,,,,,,stage3,labelled,17.4,12.0,223.83181627318024,124.67269772046997,7.824814492187234,-2.9876882686194866,0.0,0.0,zero
Australia,Geelong,2011,23.666666667,2010-2019,14.0,9.666666667,-1.1245037299999996,-0.7672507176666669,,,,,,stage3,labelled,14.095028684710993,9.648628787241396,196.78134490715775,144.90571735068718,-1.0941095721079057,-0.7747918876013639,0.0,0.0,zero
Australia,Geelong,2012,23.66,2010-2019,14.0,9.66,0.0,-0.0066666669999992,,,,,,stage3,labelled,14.0,9.66,188.35026950542374,151.21193330525995,0.0,-0.006666666999999182,0.0,0.0,zero
Australia,Geelong,2013,20.0,2010-2019,11.0,9.0,-3.0,-0.6600000000000001,,,,,,stage3,labelled,11.0,9.0,179.97545965068713,157.4760641552333,-3.0,-0.6600000000000001,0.0,0.0,zero
Australia,Mackay-Isaac-Whitsunday,2018,33.00174438,,,,,,,,,,,,,26.953929557655457,35.186468737371406,279.3018841501988,310.3158677302881,-19.09594022659301,-4.165338092002934,0.0,0.0,zero
Australia,Melbourne,2011,30.3,,,,,,,,,,,,,14.095028684710993,9.648628787241396,196.78134490715775,144.90571735068718,-1.0941095721079057,-0.7747918876013639,0.0,0.0,zero
Australia,Sydney,1985,12.084848485,,,,,,,,,,,,,-6.3812734713390356,-16.35313017563186,431.42703549863774,-30.602901321541623,76.27190257909646,-19.970265138525868,0.0,0.0,zero
Australia,Sydney,1992,,,,,,,199.4,,,,,,,0.7890366997287366,-7.804355951032079,368.83484027110734,16.214364729050885,55.63436807191253,-14.849835241952563,0.0,0.0,zero
Australia,Tasmania,2014,29.03917365,2010-2019,14.42213993,14.61703372,,,335.0224127,170.3371662,164.6852465,,,stage3,labelled,14.42213993,14.61703372,170.3371662,164.6852465,-6.452601414670655,-1.411899863255766,0.0,0.0,zero
Austria,Styria,1997,9.4,1990-1999,5.8,3.6,,,,,,,,stage2,labelled,5.8,3.6,0.0,0.0,1.3333787284784047,3.3084127748372083,0.0,0.0,zero
Austria,Styria,1998,11.2,1990-1999,6.1,5.1,0.2999999999999998,1.4999999999999996,,,,,,stage2,labelled,6.1,5.1,0.0,0.0,0.2999999999999998,1.4999999999999996,0.0,0.0,zero
Austria,Styria,1999,9.7,1990-1999,5.2,4.5,-0.8999999999999995,-0.5999999999999996,,,,,,stage2,labelled,5.2,4.5,0.0,0.0,-0.8999999999999995,-0.5999999999999996,0.0,0.0,zero
Austria,Styria,2000,10.6,2000-2009,6.3,4.3,1.0999999999999996,-0.2000000000000001,,,,,,stage3,labelled,6.3,4.3,0.0,0.0,1.0999999999999996,-0.20000000000000007,0.0,0.0,zero
Austria,Styria,2001,10.8,2000-2009,6.8,4.0,0.5,-0.2999999999999998,,,,,,stage3,labelled,6.8,4.0,0.0,0.0,0.5,-0.2999999999999998,0.0,0.0,zero
